,Time,Velocity,Acceleration
105323,0.0,23.2185,0.0286956
105425,0.09999999999999432,23.2214,0.0288887
105527,0.20000000000000284,23.2243,0.0290817
105629,0.29999999999999716,23.2273,0.0292747
105731,0.3999999999999915,23.2302,0.0294676
105833,0.5,23.2332,0.0296603
105935,0.5999999999999943,23.2362,0.029853
106037,0.7000000000000028,23.2392,0.0300456
106139,0.7999999999999972,23.2422,0.0302381
106241,0.8999999999999915,23.2452,0.0304304
106343,1.0,23.2483,0.0306225
106445,1.0999999999999943,23.2514,0.0308145
106547,1.2000000000000028,23.2545,0.0310063
106649,1.2999999999999972,23.2576,0.0311979
106751,1.3999999999999915,23.2607,0.0313893
106853,1.5,23.2639,0.0315805
106955,1.5999999999999943,23.2671,0.0317714
107057,1.7000000000000028,23.2703,0.0319622
107159,1.7999999999999972,23.2735,0.0321526
107261,1.8999999999999915,23.2767,0.0323428
107363,2.0,23.28,0.0325327
107465,2.0999999999999943,23.2832,0.0327223
107567,2.200000000000003,23.2865,0.0329116
107669,2.299999999999997,23.2898,0.0331006
107771,2.3999999999999915,23.2932,0.0332893
107873,2.5,23.2965,0.0334776
107975,2.5999999999999943,23.2999,0.0336656
108077,2.700000000000003,23.3033,0.0338532
108179,2.799999999999997,23.3067,0.0340404
108281,2.8999999999999915,23.3101,0.0342272
108383,3.0,23.3135,0.0344137
108485,3.0999999999999943,23.317,0.0345997
108587,3.200000000000003,23.3205,0.0347853
108689,3.299999999999997,23.324,0.0349705
108791,3.3999999999999915,23.3275,0.0351552
108893,3.5,23.331,0.0353394
108995,3.5999999999999943,23.3346,0.0355232
109097,3.700000000000003,23.3381,0.0357065
109199,3.799999999999997,23.3417,0.0358893
109301,3.8999999999999915,23.3453,0.0360717
109403,4.0,23.349,0.0362535
109505,4.099999999999994,23.3526,0.0364347
109607,4.200000000000003,23.3563,0.0366155
109709,4.299999999999997,23.3599,0.0367957
109811,4.3999999999999915,23.3636,0.0369753
109913,4.5,23.3674,0.0371544
110015,4.599999999999994,23.3711,0.0373329
110117,4.700000000000003,23.3748,0.0375108
110219,4.799999999999997,23.3786,0.0376881
110321,4.8999999999999915,23.3824,0.0378648
110423,5.0,23.3862,0.0380409
110525,5.099999999999994,23.39,0.0382163
110627,5.200000000000003,23.3939,0.0383911
110729,5.299999999999997,23.3977,0.0385653
110831,5.3999999999999915,23.4016,0.0387388
110933,5.5,23.4055,0.0389117
111035,5.599999999999994,23.4094,0.0390838
111137,5.700000000000003,23.4133,0.0392553
111239,5.799999999999997,23.4173,0.0394261
111341,5.8999999999999915,23.4212,0.0395962
111443,6.0,23.4252,0.0397656
111545,6.099999999999994,23.4292,0.0399342
111647,6.200000000000003,23.4332,0.0401022
111749,6.299999999999997,23.4372,0.0402693
111851,6.3999999999999915,23.4413,0.0404358
